BOROUGH,DATE,LATITUDE,LONGITUDE,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST KILLED,NUMBER OF PEDESTRIANS KILLED,TIME,TYPE
MANHATTAN,2013-01-04,40.7401843,-73.986363,0.0,0.0,1.0,12:26,Pedestrians Killed
BRONX,2013-01-04,40.8906476,-73.84874190000001,0.0,0.0,1.0,21:34,Pedestrians Killed
BRONX,2013-01-05,40.843829299999996,-73.88791850000001,0.0,0.0,1.0,13:02,Pedestrians Killed
QUEENS,2013-01-07,40.7460428,-73.8260812,0.0,0.0,1.0,6:59,Pedestrians Killed
QUEENS,2013-01-11,40.7413881,-73.7248837,0.0,0.0,1.0,18:38,Pedestrians Killed
QUEENS,2013-01-12,40.71337929999999,-73.8596555,0.0,0.0,1.0,6:45,Pedestrians Killed
,2013-01-16,40.635625700000006,-74.01706290000001,0.0,0.0,1.0,21:51,Pedestrians Killed
QUEENS,2013-01-17,40.6998829,-73.9082989,0.0,0.0,1.0,18:50,Pedestrians Killed
MANHATTAN,2013-01-18,40.7502418,-73.99859599999999,0.0,0.0,1.0,14:32,Pedestrians Killed
MANHATTAN,2013-01-20,40.7407326,-73.9817618,0.0,0.0,1.0,2:00,Pedestrians Killed
BROOKLYN,2013-01-22,40.612109100000005,-73.9667815,0.0,0.0,1.0,14:49,Pedestrians Killed
QUEENS,2013-01-23,40.7491907,-73.70785959999999,0.0,0.0,1.0,18:08,Pedestrians Killed
BROOKLYN,2013-01-25,40.644245,-73.89102120000001,0.0,0.0,1.0,7:13,Pedestrians Killed
BROOKLYN,2013-01-26,40.6162611,-73.99308070000001,0.0,0.0,1.0,15:20,Pedestrians Killed
QUEENS,2013-01-29,40.764651,-73.823484,0.0,0.0,1.0,13:10,Pedestrians Killed
BRONX,2013-01-29,40.862444200000006,-73.8971422,0.0,0.0,1.0,14:00,Pedestrians Killed
MANHATTAN,2013-01-29,40.764917499999996,-73.955157,0.0,0.0,1.0,19:50,Pedestrians Killed
BROOKLYN,2013-01-29,40.6541334,-73.9123297,0.0,0.0,1.0,20:13,Pedestrians Killed
BROOKLYN,2013-01-30,40.6542235,-73.9153065,0.0,0.0,1.0,18:30,Pedestrians Killed
MANHATTAN,2013-01-30,40.8156907,-73.95829470000001,0.0,0.0,1.0,1:00,Pedestrians Killed
QUEENS,2013-01-31,40.699531,-73.91103670000001,0.0,0.0,1.0,22:52,Pedestrians Killed
STATEN ISLAND,2013-02-01,40.5783776,-74.0940362,0.0,0.0,1.0,19:32,Pedestrians Killed
MANHATTAN,2013-02-05,40.757828100000005,-73.9930696,0.0,0.0,1.0,10:11,Pedestrians Killed
QUEENS,2013-02-07,40.763980200000006,-73.9105065,0.0,0.0,1.0,11:15,Pedestrians Killed
QUEENS,2013-02-13,40.6936625,-73.85216390000001,0.0,0.0,1.0,20:58,Pedestrians Killed
QUEENS,2013-02-15,40.668608500000005,-73.781667,0.0,0.0,1.0,0:28,Pedestrians Killed
BRONX,2013-02-15,40.8660702,-73.8943816,0.0,0.0,1.0,18:53,Pedestrians Killed
